"date","train","way","station","hour","composition","p1q0","p2q0","p3q0","p0q1","p0q2","p0q3"
2019-05-21,"1",0,"AD","06:00:00",2,NA,NA,NA,0.226,0.165,0.128
2019-05-22,"1",0,"AD","06:00:00",2,NA,NA,NA,0.221,0.159,0.114
2019-05-27,"1",0,"AD","06:00:00",2,NA,NA,NA,0.227,0.175,0.133
2019-05-29,"1",0,"AD","06:00:00",2,NA,NA,NA,0.2,0.148,0.105
2019-06-03,"1",0,"AD","06:00:00",2,NA,NA,NA,0.221,0.169,0.126
2019-06-04,"1",0,"AD","06:00:00",2,NA,NA,NA,0.18,0.141,0.101
2019-06-06,"1",0,"AD","06:00:00",2,NA,NA,NA,0.2,0.137,0.095
2019-06-07,"1",0,"AD","06:00:00",2,NA,NA,NA,0.19,0.132,0.089
2019-06-11,"1",0,"AD","06:00:00",2,NA,NA,NA,0.215,0.161,0.122
2019-06-12,"1",0,"AD","06:00:00",2,NA,NA,NA,0.196,0.136,0.104
2019-06-13,"1",0,"AD","06:00:00",2,NA,NA,NA,0.219,0.162,0.113
2019-06-14,"1",0,"AD","06:00:00",2,NA,NA,NA,0.195,0.147,0.104
2019-06-17,"1",0,"AD","06:00:00",2,NA,NA,NA,0.212,0.156,0.113
2019-06-18,"1",0,"AD","06:00:00",2,NA,NA,NA,0.221,0.153,0.104
2019-06-20,"1",0,"AD","06:00:00",2,NA,NA,NA,0.209,0.155,0.108
2019-06-21,"1",0,"AD","06:00:00",2,NA,NA,NA,0.197,0.154,0.119
2019-06-24,"1",0,"AD","06:00:00",2,NA,NA,NA,0.182,0.134,0.098
2019-06-25,"1",0,"AD","06:00:00",2,NA,NA,NA,0.203,0.15,0.114
2019-06-27,"1",0,"AD","06:00:00",2,NA,NA,NA,0.228,0.163,0.11
2019-06-28,"1",0,"AD","06:00:00",2,NA,NA,NA,0.201,0.143,0.102
2019-07-01,"1",0,"AD","06:00:00",2,NA,NA,NA,0.189,0.132,0.096
2019-07-03,"1",0,"AD","06:00:00",2,NA,NA,NA,0.199,0.138,0.096
2019-07-04,"1",0,"AD","06:00:00",2,NA,NA,NA,0.227,0.153,0.11
2019-07-05,"1",0,"AD","06:00:00",2,NA,NA,NA,0.242,0.166,0.115
2019-05-21,"1",0,"AI","06:00:00",2,0.106,0.179,NA,0.243,0.233,0.226
2019-05-22,"1",0,"AI","06:00:00",2,0.096,0.163,NA,0.234,0.238,0.221
