"","p0q0"
"1",0.288
"2",0.788
"3",0.409
"4",0.883
"5",0.94
"6",0.046
"7",0.528
"8",0.892
"9",0.551
"10",0.457
"11",0.957
"12",0.453
"13",0.678
"14",0.573
"15",0.103
"16",0.9
"17",0.246
"18",0.042
"19",0.328
"20",0.955
"21",0.89
"22",0.693
"23",0.641
"24",0.994
"25",0.656
"26",0.709
"27",0.544
"28",0.594
"29",0.289
"30",0.147
"31",0.963
"32",0.902
"33",0.691
"34",0.795
"35",0.025
"36",0.478
"37",0.758
"38",0.216
"39",0.318
"40",0.232
"41",0.143
"42",0.415
"43",0.414
"44",0.369
"45",0.152
"46",0.139
"47",0.233
"48",0.466
"49",0.266
"50",0.858
"51",0.046
"52",0.442
"53",0.799
"54",0.122
"55",0.561
"56",0.207
"57",0.128
"58",0.753
"59",0.895
"60",0.374
"61",0.665
"62",0.095
"63",0.384
"64",0.274
"65",0.815
"66",0.449
"67",0.81
"68",0.812
"69",0.794
"70",0.44
"71",0.754
"72",0.629
"73",0.71
"74",0.001
"75",0.475
"76",0.22
"77",0.38
"78",0.613
"79",0.352
"80",0.111
"81",0.244
"82",0.668
"83",0.418
"84",0.788
"85",0.103
"86",0.435
"87",0.985
"88",0.893
"89",0.886
"90",0.175
"91",0.131
"92",0.653
"93",0.344
"94",0.657
"95",0.32
"96",0.188
"97",0.782
"98",0.094
"99",0.467
"100",0.512
"101",0.6
"102",0.333
"103",0.489
"104",0.954
"105",0.483
"106",0.89
"107",0.914
"108",0.609
"109",0.411
"110",0.147
"111",0.935
"112",0.301
"113",0.061
"114",0.948
"115",0.721
"116",0.142
"117",0.549
"118",0.954
"119",0.585
"120",0.405
"121",0.648
"122",0.32
"123",0.308
"124",0.22
"125",0.369
"126",0.984
"127",0.154
"128",0.091
"129",0.142
"130",0.69
"131",0.619
"132",0.891
"133",0.673
"134",0.737
"135",0.521
"136",0.66
"137",0.822
"138",0.786
"139",0.98
"140",0.439
"141",0.312
"142",0.409
"143",0.01
"144",0.184
"145",0.843
"146",0.231
"147",0.239
"148",0.077
"149",0.246
"150",0.732
"151",0.847
"152",0.498
"153",0.388
"154",0.246
"155",0.111
"156",0.39
"157",0.572
"158",0.217
"159",0.445
"160",0.218
"161",0.502
"162",0.354
"163",0.65
"164",0.375
"165",0.355
"166",0.534
"167",0.74
"168",0.221
"169",0.413
"170",0.266
"171",0.63
"172",0.184
"173",0.864
"174",0.747
"175",0.668
"176",0.618
"177",0.372
"178",0.53
"179",0.875
"180",0.582
"181",0.84
"182",0.312
"183",0.708
"184",0.265
"185",0.594
"186",0.481
"187",0.265
"188",0.565
"189",0.913
"190",0.902
"191",0.274
"192",0.321
"193",0.986
"194",0.62
"195",0.937
"196",0.467
"197",0.407
"198",0.659
"199",0.152
"200",0.573
"201",0.239
"202",0.962
"203",0.601
"204",0.515
"205",0.403
"206",0.88
"207",0.364
"208",0.288
"209",0.171
"210",0.172
"211",0.482
"212",0.253
"213",0.216
"214",0.674
"215",0.048
"216",0.701
"217",0.352
"218",0.409
"219",0.821
"220",0.919
"221",0.283
"222",0.961
"223",0.728
"224",0.686
"225",0.053
"226",0.395
"227",0.478
"228",0.56
"229",0.698
"230",0.916
"231",0.618
"232",0.428
"233",0.542
"234",0.058
"235",0.261
"236",0.397
"237",0.198
"238",0.832
"239",0.153
"240",0.803
"241",0.547
"242",0.662
"243",0.172
"244",0.633
"245",0.312
"246",0.725
"247",0.399
"248",0.969
"249",0.967
"250",0.727
"251",0.257
"252",0.222
"253",0.593
"254",0.268
"255",0.531
"256",0.785
"257",0.168
"258",0.404
"259",0.472
"260",0.868
"261",0.926
"262",0.882
"263",0.674
"264",0.95
"265",0.516
"266",0.577
"267",0.336
"268",0.347
"269",0.02
"270",0.503
"271",0.871
"272",0.006
"273",0.072
"274",0.164
"275",0.77
"276",0.735
"277",0.972
"278",0.466
"279",0.074
"280",0.649
"281",0.759
"282",0.137
"283",0.397
"284",0.225
"285",0.058
"286",0.396
"287",0.065
"288",0.226
"289",0.055
"290",0.67
"291",0.298
"292",0.101
"293",0.072
"294",0.88
"295",0.754
"296",0.817
"297",0.982
"298",0.104
"299",0.099
"300",0.799
"301",0.785
"302",0.009
"303",0.779
"304",0.729
"305",0.63
"306",0.481
"307",0.157
"308",0.008
"309",0.452
"310",0.492
"311",0.39
"312",0.465
"313",0.713
"314",0.055
"315",0.355
"316",0.803
"317",0.836
"318",0.238
"319",0.354
"320",0.857
"321",0.854
"322",0.296
"323",0.147
"324",0.704
"325",0.104
"326",0.034
"327",0.999
"328",0.035
"329",0.338
"330",0.915
"331",0.617
"332",0.286
"333",0.738
"334",0.834
"335",0.314
"336",0.493
"337",0.697
"338",0.641
"339",0.644
"340",0.978
"341",0.415
"342",0.119
"343",0.526
"344",0.225
"345",0.486
"346",0.37
"347",0.983
"348",0.388
"349",0.229
"350",0.623
"351",0.137
"352",0.967
"353",0.515
"354",0.163
"355",0.622
"356",0.986
"357",0.669
"358",0.419
"359",0.323
