"","p0q0"
"1",0.216
"2",0.216
"3",0.227
"4",0.229
"5",0.225
"6",0.238
"7",0.228
"8",0.217
"9",0.258
"10",0.242
"11",0.244
"12",0.241
"13",0.221
"14",0.221
"15",0.213
"16",0.189
"17",0.217
"18",0.216
"19",0.23
"20",0.243
"21",0.181
"22",0.207
"23",0.255
"24",0.232
"25",0.211
"26",0.207
"27",0.2
"28",0.204
"29",0.229
"30",0.248
"31",0.227
"32",0.215
"33",0.212
"34",0.182
"35",0.198
"36",0.219
"37",0.215
"38",0.22
"39",0.202
"40",0.202
"41",0.207
"42",0.196
"43",0.18
"44",0.204
"45",0.216
"46",0.193
"47",0.207
"48",0.223
"49",0.207
"50",0.234
"51",0.2
"52",0.213
"53",0.211
"54",0.188
"55",0.225
"56",0.209
"57",0.206
"58",0.215
"59",0.275
"60",0.268
"61",0.268
"62",0.281
"63",0.302
"64",0.275
"65",0.26
"66",0.232
"67",0.297
"68",0.273
"69",0.264
"70",0.298
"71",0.271
"72",0.229
"73",0.268
"74",0.232
"75",0.302
"76",0.26
"77",0.258
"78",0.322
"79",0.225
"80",0.247
"81",0.278
"82",0.28
"83",0.24
"84",0.252
"85",0.284
"86",0.24
"87",0.304
"88",0.254
"89",0.27
"90",0.287
"91",0.28
"92",0.277
"93",0.242
"94",0.249
"95",0.266
"96",0.259
"97",0.255
"98",0.23
"99",0.268
"100",0.233
"101",0.2
"102",0.259
"103",0.284
"104",0.222
"105",0.248
"106",0.246
"107",0.251
"108",0.249
"109",0.237
"110",0.271
"111",0.255
"112",0.24
"113",0.265
"114",0.272
"115",0.239
"116",0.254
"117",0.282
"118",0.271
"119",0.27
"120",0.285
"121",0.315
"122",0.277
"123",0.26
"124",0.234
"125",0.344
"126",0.275
"127",0.263
"128",0.319
"129",0.269
"130",0.252
"131",0.273
"132",0.248
"133",0.315
"134",0.277
"135",0.266
"136",0.332
"137",0.22
"138",0.273
"139",0.289
"140",0.291
"141",0.271
"142",0.253
"143",0.303
"144",0.262
"145",0.332
"146",0.251
"147",0.27
"148",0.292
"149",0.289
"150",0.283
"151",0.245
"152",0.249
"153",0.269
"154",0.262
"155",0.267
"156",0.226
"157",0.279
"158",0.245
"159",0.227
"160",0.278
"161",0.29
"162",0.224
"163",0.245
"164",0.248
"165",0.251
"166",0.248
"167",0.25
"168",0.28
"169",0.262
"170",0.235
"171",0.272
"172",0.271
"173",0.242
"174",0.248
"175",0.23
"176",0.247
"177",0.25
"178",0.253
"179",0.258
"180",0.254
"181",0.239
"182",0.221
"183",0.257
"184",0.261
"185",0.251
"186",0.258
"187",0.246
"188",0.22
"189",0.241
"190",0.198
"191",0.245
"192",0.227
"193",0.233
"194",0.261
"195",0.202
"196",0.228
"197",0.257
"198",0.253
"199",0.209
"200",0.233
"201",0.237
"202",0.222
"203",0.239
"204",0.238
"205",0.255
"206",0.241
"207",0.236
"208",0.222
"209",0.214
"210",0.223
"211",0.234
"212",0.244
"213",0.226
"214",0.215
"215",0.23
"216",0.217
